id,subcategory_id,question_text,question_type,help_text,organization_size,sector,weight,required,created_at,updated_at
DE.AE-02_risk,DE.AE-02,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-02_maturity,DE.AE-02,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-02_implementation,DE.AE-02,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-02_effectiveness,DE.AE-02,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-03_risk,DE.AE-03,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-03_maturity,DE.AE-03,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-03_implementation,DE.AE-03,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-03_effectiveness,DE.AE-03,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-04_risk,DE.AE-04,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-04_maturity,DE.AE-04,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-04_implementation,DE.AE-04,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-04_effectiveness,DE.AE-04,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-06_risk,DE.AE-06,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-06_maturity,DE.AE-06,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-06_implementation,DE.AE-06,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-06_effectiveness,DE.AE-06,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-07_risk,DE.AE-07,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-07",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-07_maturity,DE.AE-07,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-07",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-07_implementation,DE.AE-07,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-07",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-07_effectiveness,DE.AE-07,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-07",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-08_risk,DE.AE-08,"How would you assess the risk from your current adverse event analysis and response processes?",multiple_choice,"This question assesses risk for DE.AE-08",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-08_maturity,DE.AE-08,"What is the maturity level of your adverse event analysis and detection processes?",multiple_choice,"This question assesses maturity for DE.AE-08",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-08_implementation,DE.AE-08,"What is the implementation status of your adverse event analysis capabilities?",multiple_choice,"This question assesses implementation for DE.AE-08",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.AE-08_effectiveness,DE.AE-08,"How effective is your adverse event analysis at identifying and escalating threats?",multiple_choice,"This question assesses effectiveness for DE.AE-08",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-01_risk,DE.CM-01,"What is the risk level from gaps in your continuous monitoring and detection capabilities?",multiple_choice,"This question assesses risk for DE.CM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-01_maturity,DE.CM-01,"How mature is your continuous monitoring and detection program?",multiple_choice,"This question assesses maturity for DE.CM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-01_implementation,DE.CM-01,"How well implemented are your continuous monitoring and detection systems?",multiple_choice,"This question assesses implementation for DE.CM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-01_effectiveness,DE.CM-01,"How effective are your monitoring systems at detecting cybersecurity events?",multiple_choice,"This question assesses effectiveness for DE.CM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-02_risk,DE.CM-02,"What is the risk level from gaps in your continuous monitoring and detection capabilities?",multiple_choice,"This question assesses risk for DE.CM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-02_maturity,DE.CM-02,"How mature is your continuous monitoring and detection program?",multiple_choice,"This question assesses maturity for DE.CM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-02_implementation,DE.CM-02,"How well implemented are your continuous monitoring and detection systems?",multiple_choice,"This question assesses implementation for DE.CM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-02_effectiveness,DE.CM-02,"How effective are your monitoring systems at detecting cybersecurity events?",multiple_choice,"This question assesses effectiveness for DE.CM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-03_risk,DE.CM-03,"What is the risk level from gaps in your continuous monitoring and detection capabilities?",multiple_choice,"This question assesses risk for DE.CM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-03_maturity,DE.CM-03,"How mature is your continuous monitoring and detection program?",multiple_choice,"This question assesses maturity for DE.CM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-03_implementation,DE.CM-03,"How well implemented are your continuous monitoring and detection systems?",multiple_choice,"This question assesses implementation for DE.CM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-03_effectiveness,DE.CM-03,"How effective are your monitoring systems at detecting cybersecurity events?",multiple_choice,"This question assesses effectiveness for DE.CM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-06_risk,DE.CM-06,"What is the risk level from gaps in your continuous monitoring and detection capabilities?",multiple_choice,"This question assesses risk for DE.CM-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-06_maturity,DE.CM-06,"How mature is your continuous monitoring and detection program?",multiple_choice,"This question assesses maturity for DE.CM-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-06_implementation,DE.CM-06,"How well implemented are your continuous monitoring and detection systems?",multiple_choice,"This question assesses implementation for DE.CM-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-06_effectiveness,DE.CM-06,"How effective are your monitoring systems at detecting cybersecurity events?",multiple_choice,"This question assesses effectiveness for DE.CM-06",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-09_risk,DE.CM-09,"What is the risk level from gaps in your continuous monitoring and detection capabilities?",multiple_choice,"This question assesses risk for DE.CM-09",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-09_maturity,DE.CM-09,"How mature is your continuous monitoring and detection program?",multiple_choice,"This question assesses maturity for DE.CM-09",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-09_implementation,DE.CM-09,"How well implemented are your continuous monitoring and detection systems?",multiple_choice,"This question assesses implementation for DE.CM-09",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
DE.CM-09_effectiveness,DE.CM-09,"How effective are your monitoring systems at detecting cybersecurity events?",multiple_choice,"This question assesses effectiveness for DE.CM-09",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-01_risk,GV.OC-01,"What is the risk level associated with your organization's cybersecurity context and stakeholder management?",multiple_choice,"This question assesses risk for GV.OC-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-01_maturity,GV.OC-01,"What is the maturity level of your organizational cybersecurity context management?",multiple_choice,"This question assesses maturity for GV.OC-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-01_implementation,GV.OC-01,"How well implemented is your organizational cybersecurity context identification and management?",multiple_choice,"This question assesses implementation for GV.OC-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-01_effectiveness,GV.OC-01,"How effective is your organization at maintaining accurate cybersecurity context and stakeholder engagement?",multiple_choice,"This question assesses effectiveness for GV.OC-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-02_risk,GV.OC-02,"What is the risk level associated with your organization's cybersecurity context and stakeholder management?",multiple_choice,"This question assesses risk for GV.OC-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-02_maturity,GV.OC-02,"What is the maturity level of your organizational cybersecurity context management?",multiple_choice,"This question assesses maturity for GV.OC-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-02_implementation,GV.OC-02,"How well implemented is your organizational cybersecurity context identification and management?",multiple_choice,"This question assesses implementation for GV.OC-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-02_effectiveness,GV.OC-02,"How effective is your organization at maintaining accurate cybersecurity context and stakeholder engagement?",multiple_choice,"This question assesses effectiveness for GV.OC-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-03_risk,GV.OC-03,"What is the risk level associated with your organization's cybersecurity context and stakeholder management?",multiple_choice,"This question assesses risk for GV.OC-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-03_maturity,GV.OC-03,"What is the maturity level of your organizational cybersecurity context management?",multiple_choice,"This question assesses maturity for GV.OC-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-03_implementation,GV.OC-03,"How well implemented is your organizational cybersecurity context identification and management?",multiple_choice,"This question assesses implementation for GV.OC-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-03_effectiveness,GV.OC-03,"How effective is your organization at maintaining accurate cybersecurity context and stakeholder engagement?",multiple_choice,"This question assesses effectiveness for GV.OC-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-04_risk,GV.OC-04,"What is the risk level associated with your organization's cybersecurity context and stakeholder management?",multiple_choice,"This question assesses risk for GV.OC-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-04_maturity,GV.OC-04,"What is the maturity level of your organizational cybersecurity context management?",multiple_choice,"This question assesses maturity for GV.OC-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-04_implementation,GV.OC-04,"How well implemented is your organizational cybersecurity context identification and management?",multiple_choice,"This question assesses implementation for GV.OC-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-04_effectiveness,GV.OC-04,"How effective is your organization at maintaining accurate cybersecurity context and stakeholder engagement?",multiple_choice,"This question assesses effectiveness for GV.OC-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-05_risk,GV.OC-05,"What is the risk level associated with your organization's cybersecurity context and stakeholder management?",multiple_choice,"This question assesses risk for GV.OC-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-05_maturity,GV.OC-05,"What is the maturity level of your organizational cybersecurity context management?",multiple_choice,"This question assesses maturity for GV.OC-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-05_implementation,GV.OC-05,"How well implemented is your organizational cybersecurity context identification and management?",multiple_choice,"This question assesses implementation for GV.OC-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OC-05_effectiveness,GV.OC-05,"How effective is your organization at maintaining accurate cybersecurity context and stakeholder engagement?",multiple_choice,"This question assesses effectiveness for GV.OC-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-01_risk,GV.OV-01,"What is the risk level related to cybersecurity strategy oversight and performance management?",multiple_choice,"This question assesses risk for GV.OV-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-01_maturity,GV.OV-01,"What is the maturity level of your cybersecurity oversight and governance processes?",multiple_choice,"This question assesses maturity for GV.OV-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-01_implementation,GV.OV-01,"How well implemented are your cybersecurity oversight and performance management processes?",multiple_choice,"This question assesses implementation for GV.OV-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-01_effectiveness,GV.OV-01,"How effective is your cybersecurity oversight in improving security posture?",multiple_choice,"This question assesses effectiveness for GV.OV-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-02_risk,GV.OV-02,"What is the risk level related to cybersecurity strategy oversight and performance management?",multiple_choice,"This question assesses risk for GV.OV-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-02_maturity,GV.OV-02,"What is the maturity level of your cybersecurity oversight and governance processes?",multiple_choice,"This question assesses maturity for GV.OV-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-02_implementation,GV.OV-02,"How well implemented are your cybersecurity oversight and performance management processes?",multiple_choice,"This question assesses implementation for GV.OV-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-02_effectiveness,GV.OV-02,"How effective is your cybersecurity oversight in improving security posture?",multiple_choice,"This question assesses effectiveness for GV.OV-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-03_risk,GV.OV-03,"What is the risk level related to cybersecurity strategy oversight and performance management?",multiple_choice,"This question assesses risk for GV.OV-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-03_maturity,GV.OV-03,"What is the maturity level of your cybersecurity oversight and governance processes?",multiple_choice,"This question assesses maturity for GV.OV-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-03_implementation,GV.OV-03,"How well implemented are your cybersecurity oversight and performance management processes?",multiple_choice,"This question assesses implementation for GV.OV-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.OV-03_effectiveness,GV.OV-03,"How effective is your cybersecurity oversight in improving security posture?",multiple_choice,"This question assesses effectiveness for GV.OV-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-01_risk,GV.PO-01,"How would you rate the risk associated with your cybersecurity policy framework?",multiple_choice,"This question assesses risk for GV.PO-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-01_maturity,GV.PO-01,"How mature is your cybersecurity policy development and management process?",multiple_choice,"This question assesses maturity for GV.PO-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-01_implementation,GV.PO-01,"What is the implementation status of your cybersecurity policies?",multiple_choice,"This question assesses implementation for GV.PO-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-01_effectiveness,GV.PO-01,"How effective are your cybersecurity policies at guiding organizational behavior?",multiple_choice,"This question assesses effectiveness for GV.PO-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-02_risk,GV.PO-02,"How would you rate the risk associated with your cybersecurity policy framework?",multiple_choice,"This question assesses risk for GV.PO-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-02_maturity,GV.PO-02,"How mature is your cybersecurity policy development and management process?",multiple_choice,"This question assesses maturity for GV.PO-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-02_implementation,GV.PO-02,"What is the implementation status of your cybersecurity policies?",multiple_choice,"This question assesses implementation for GV.PO-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.PO-02_effectiveness,GV.PO-02,"How effective are your cybersecurity policies at guiding organizational behavior?",multiple_choice,"This question assesses effectiveness for GV.PO-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-01_risk,GV.RM-01,"How would you assess the risk exposure from your current cybersecurity risk management approach?",multiple_choice,"This question assesses risk for GV.RM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-01_maturity,GV.RM-01,"How mature is your cybersecurity risk management program?",multiple_choice,"This question assesses maturity for GV.RM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-01_implementation,GV.RM-01,"What is the implementation status of your cybersecurity risk management strategy?",multiple_choice,"This question assesses implementation for GV.RM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-01_effectiveness,GV.RM-01,"How effective is your cybersecurity risk management program at reducing actual risk?",multiple_choice,"This question assesses effectiveness for GV.RM-01",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-02_risk,GV.RM-02,"How would you assess the risk exposure from your current cybersecurity risk management approach?",multiple_choice,"This question assesses risk for GV.RM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-02_maturity,GV.RM-02,"How mature is your cybersecurity risk management program?",multiple_choice,"This question assesses maturity for GV.RM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-02_implementation,GV.RM-02,"What is the implementation status of your cybersecurity risk management strategy?",multiple_choice,"This question assesses implementation for GV.RM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-02_effectiveness,GV.RM-02,"How effective is your cybersecurity risk management program at reducing actual risk?",multiple_choice,"This question assesses effectiveness for GV.RM-02",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-03_risk,GV.RM-03,"How would you assess the risk exposure from your current cybersecurity risk management approach?",multiple_choice,"This question assesses risk for GV.RM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-03_maturity,GV.RM-03,"How mature is your cybersecurity risk management program?",multiple_choice,"This question assesses maturity for GV.RM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-03_implementation,GV.RM-03,"What is the implementation status of your cybersecurity risk management strategy?",multiple_choice,"This question assesses implementation for GV.RM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-03_effectiveness,GV.RM-03,"How effective is your cybersecurity risk management program at reducing actual risk?",multiple_choice,"This question assesses effectiveness for GV.RM-03",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-04_risk,GV.RM-04,"How would you assess the risk exposure from your current cybersecurity risk management approach?",multiple_choice,"This question assesses risk for GV.RM-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-04_maturity,GV.RM-04,"How mature is your cybersecurity risk management program?",multiple_choice,"This question assesses maturity for GV.RM-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-04_implementation,GV.RM-04,"What is the implementation status of your cybersecurity risk management strategy?",multiple_choice,"This question assesses implementation for GV.RM-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-04_effectiveness,GV.RM-04,"How effective is your cybersecurity risk management program at reducing actual risk?",multiple_choice,"This question assesses effectiveness for GV.RM-04",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-05_risk,GV.RM-05,"How would you assess the risk exposure from your current cybersecurity risk management approach?",multiple_choice,"This question assesses risk for GV.RM-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-05_maturity,GV.RM-05,"How mature is your cybersecurity risk management program?",multiple_choice,"This question assesses maturity for GV.RM-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-05_implementation,GV.RM-05,"What is the implementation status of your cybersecurity risk management strategy?",multiple_choice,"This question assesses implementation for GV.RM-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
GV.RM-05_effectiveness,GV.RM-05,"How effective is your cybersecurity risk management program at reducing actual risk?",multiple_choice,"This question assesses effectiveness for GV.RM-05",,,1.0,0,"2025-08-24 20:47:09","2025-08-24 20:47:09"
